name,status,feat_type,reo,x,y
Abut Head Scenic Reserve,Official Validated,scenic reserve,0,170.296389,-43.113333
Acacia Bay,Unofficial Discontinued,Bay,0,176.034722,-38.703889
Acacia Bay,Unofficial Recorded,Locality,0,176.036472,-38.703611
Acacia Bay North,Official Assigned,Bay,0,176.029164,-38.708627
Acacia Bay South,Official Assigned,Bay,0,176.027139,-38.712122
Access Creek,Unofficial Recorded,Stream,0,168.663639,-44.040361
Access Creek,Unofficial Recorded,Stream,0,169.265528,-43.760139
Access Peak,Official Assigned,Hill,0,167.9158,-44.736195
Accident Creek,Unofficial Recorded,Stream,0,169.020528,-44.063583
Accord Point,Unofficial Recorded,Point,0,174.818833,-36.418306
Acheron Anchorage,Unofficial Recorded,Bay,0,167.667556,-47.201722
Acheron Basin,Official Approved,Basin,0,167.055,-45.12
Acheron Flat,Official Assigned,Flat,0,171.605482,-43.411765
Acheron Lakes,Official Assigned,Lake,0,168.0949,-45.165083
Acheron Passage,Unofficial Recorded,Channel,0,166.725639,-45.663417
Acheron Point,Unofficial Recorded,Point,0,170.6445,-45.797361
Acheron River,Unofficial Recorded,Stream,0,171.620667,-43.366444
Acheron River,Unofficial Recorded,Stream,0,173.186972,-42.074306
Acheron Saddle,Unofficial Recorded,Pass,0,173.292167,-41.925167
Acheson Crossing,Unofficial Recorded,Place,0,175.163028,-37.104056
Acheson Stream,Unofficial Recorded,Stream,0,175.163889,-37.100389
Achilles Peak,Official Assigned,Hill,0,170.727685,-43.567983
Achilles Point,Official Assigned,Point,0,174.863705,-36.843774
Aciphylla Creek,Official Assigned,Stream,0,170.704831,-43.278656
Aciphylla Stream,Unofficial Recorded,Stream,0,176.144861,-39.096389
Ackers Point,Unofficial Recorded,Point,0,168.163972,-46.895889
Ackers Point Scenic Reserve,Official Validated,scenic reserve,0,168.160556,-46.896111
Acland Falls,Unofficial Recorded,Waterfall,0,171.258444,-43.883833
Acland Lagoon,Unofficial Recorded,Lake,0,170.111083,-43.835222
Acre Creek,Unofficial Recorded,Stream,0,171.117611,-42.598194
Acrobat Creek,Unofficial Recorded,Stream,0,170.059,-43.445472
Acton Stream,Unofficial Recorded,Stream,0,168.265333,-45.577056
Acton Stream Recreation Reserve,Official Validated,recreation reserve,0,170.412222,-45.900556
Actual Creek,Unofficial Recorded,Stream,0,170.767528,-43.010472
Ada Creek,Unofficial Recorded,Stream,0,173.911278,-41.287583
Ada Flat,Official Assigned,Flat,0,172.601618,-42.329991
Ada Flat,Unofficial Recorded,Flat,0,173.301333,-41.508111
Ada Pass,Unofficial Recorded,Pass,0,172.461611,-42.30425
Ada River,Unofficial Recorded,Stream,0,172.559417,-42.282583
Adair,Unofficial Recorded,Locality,0,171.176111,-44.427278
Adam Creek,Official Assigned,Stream,0,168.223006,-44.207259
Adam Creek,Official Assigned,Stream,0,169.209166,-43.720775
Adam Creek,Unofficial Recorded,Stream,0,172.214611,-41.199333
Adam Head,Unofficial Recorded,Point,0,166.738917,-46.05875
Adams Bank,Unofficial Recorded,Bank,0,176.016667,-41.366667
Adams Burn,Official Assigned,Stream,0,167.346424,-45.256278
Adams Col,Official Assigned,Pass,0,170.688856,-43.321567
Adams Creek,Unofficial Recorded,Stream,0,168.970556,-44.939194
Adams Creek,Unofficial Recorded,Stream,0,169.633528,-43.922611
Adams Creek,Unofficial Recorded,Stream,0,173.308111,-41.37525
Adams Flat,Official Assigned,Flat,0,170.684531,-43.274253
Adams Flat,Unofficial Recorded,Locality,0,169.831833,-46.110861
Adams Glacier,Official Assigned,Glacier,0,170.685015,-43.305196
Adams Gully,Unofficial Recorded,Valley,0,169.117972,-45.134806
Adams Gully,Unofficial Recorded,Valley,0,170.847361,-43.052417
Adams Gully,Unofficial Recorded,Valley,0,173.838111,-41.784361
Adams Hill,Official Assigned,Hill,0,167.719098,-47.008398
Adams Peak,Unofficial Recorded,Hill,0,169.647861,-43.958806
Adams Range,Unofficial Recorded,Range,0,170.521694,-43.249528
Adams River,Unofficial Recorded,Stream,0,170.713861,-43.243722
Adams Stream,Official Assigned,Stream,0,171.77095,-43.223811
Adams Stream,Unofficial Recorded,Stream,0,175.812694,-37.292944
Adams Wilderness Area,Official Validated,wilderness area,0,170.675278,-43.277778
Adamson Creek,Unofficial Recorded,Stream,0,170.634,-43.216583
Adamson Creek,Unofficial Recorded,Stream,0,170.64075,-43.096417
Adamson Creek,Unofficial Recorded,Stream,0,171.178111,-42.916417
Adamstown Creek,Unofficial Recorded,Stream,0,171.731472,-42.204056
Adderley Head,Official Assigned,Point,0,172.825805,-43.604419
Adderley Head Scenic Reserve,Official Validated,scenic reserve,0,172.824167,-43.6125
Addington,Unofficial Recorded,Suburb,0,172.614556,-43.543028
Addisons Flat,Unofficial Recorded,Flat,0,171.538028,-41.815694
Adelaide Peak,Official Assigned,Hill,0,168.058554,-44.745992
Adelaide Saddle,Unofficial Recorded,Pass,0,168.020333,-44.727389
Adelaide Tarn,Official Assigned,Lake,0,172.543897,-40.941735
Adele Island,Unofficial Replaced,Island,0,173.059583,-40.981556
Adiantum Bluff,Unofficial Recorded,Cliff,0,169.165889,-43.746194
Adieu Bank,Official Adopted,Bank,0,166.817503,-45.397476
Adieu Basin,Official Approved,Basin,0,166.831667,-45.404167
Adieu Creek,Unofficial Recorded,Stream,0,168.983583,-44.047667
Adieu Creek,Unofficial Recorded,Stream,0,169.937028,-43.745111
Adieu Point,Unofficial Recorded,Point,0,166.807972,-45.390639
Adit Stream,Official Assigned,Stream,0,172.528186,-41.812709
Adkin,Unofficial Recorded,Hill,0,175.442306,-40.808472
Administration Bay,Unofficial Recorded,Bay,0,174.899861,-36.749111
Admirals Bay,Official Assigned,Bay,0,174.357812,-35.370202
Admirals Pool,Official Assigned,Pool,0,175.8134,-39.010382
Admirals Pool,Unofficial Recorded,Lake,0,175.809222,-39.011139
Admiralty Bay,Unofficial Recorded,Bay,0,173.874694,-40.940944
Adolphe Point,Unofficial Recorded,Point,0,173.067861,-40.960861
Advance Creek,Unofficial Recorded,Stream,0,172.531194,-41.593889
Advance Peak,Unofficial Recorded,Hill,0,168.792389,-44.827306
Adventure Hill,Unofficial Recorded,Hill,0,168.081389,-47.036
Adventure Ridge,Unofficial Recorded,Ridge,0,171.156778,-42.970444
Adverse Creek,Official Assigned,Stream,0,170.612691,-43.339459
Adverse Glacier,Official Assigned,Glacier,0,170.583692,-43.33449
Aeneid Peak,Unofficial Replaced,Hill,0,172.617588,-42.192988
Aeroplane Flat,Official Assigned,Flat,0,171.890938,-42.930558
Aeroplane Peak,Official Assigned,Hill,0,168.768229,-44.390845
Afton Burn,Unofficial Recorded,Stream,0,168.427333,-45.13875
Afton Burn East Branch,Unofficial Recorded,Stream,0,168.459194,-45.165139
Afton Peak,Unofficial Recorded,Hill,0,168.483361,-45.145806
Afton Saddle,Unofficial Recorded,Pass,0,168.436917,-45.194167
Agassiz Glacier,Unofficial Recorded,Glacier,0,170.210278,-43.504417
Agassiz Range,Unofficial Recorded,Range,0,171.113389,-43.135667
Age Glacier,Unofficial Recorded,Glacier,0,168.018389,-44.611417
Agfa Knob,Official Assigned,Hill,0,170.957905,-43.173348
Agility Creek,Unofficial Recorded,Stream,0,171.609833,-42.924861
Agnes Glacier,Unofficial Recorded,Glacier,0,170.711111,-43.357
Agnes Stream,Official Assigned,Stream,0,170.741407,-43.345641
Ahaaha Rocks,Unofficial Recorded,Island,1,175.024444,-36.690444
Ahaura,Unofficial Recorded,Locality,1,171.537944,-42.344778
Ahaura River,Unofficial Recorded,Stream,1,171.572944,-42.373028
Ahaura River East Amenity Area,Official Validated,amenity area,1,171.781944,-42.4925
Ahaura Road Amenity Area,Official Validated,amenity area,1,171.715556,-42.406389
Ahaura Terraces Ecological Area,Official Validated,ecological area,1,171.697778,-42.423056
Ahaura-Kopara Scenic Reserve,Official Validated,scenic reserve,1,171.793611,-42.461111
Ahern Creek,Unofficial Recorded,Stream,0,173.667806,-41.3275
Ahiapurua,Unofficial Recorded,Hill,1,178.058861,-37.784861
Ahiaruhe Shell Bank,Unofficial Recorded,Undersea Feature,1,172.952667,-34.537
Ahiaruhe Stream,Unofficial Recorded,Stream,1,175.581972,-41.118639
Ahiawa Stream,Unofficial Recorded,Stream,1,174.829361,-37.843611
Ahiherua Stream,Unofficial Recorded,Stream,1,176.897944,-38.669306
Ahikaeaea,Unofficial Recorded,Hill,1,176.323139,-39.119139
Ahikaroa,Unofficial Recorded,Hill,1,177.004,-38.65225
Ahikiwi,Unofficial Recorded,Locality,1,173.720361,-35.790222
Ahikopua Point,Unofficial Recorded,Point,1,175.775111,-36.633194
Ahikouka,Unofficial Recorded,Locality,1,175.480944,-41.07
Ahikumukumu Stream,Unofficial Recorded,Stream,1,175.582056,-36.726833
Ahimanawa,Unofficial Recorded,Hill,1,177.847417,-38.8845
Ahimanawa Range,Unofficial Recorded,Range,1,176.517472,-39.060194
Ahimanawa Stream,Unofficial Recorded,Stream,1,176.810056,-38.582111
Ahimanawa Stream,Unofficial Recorded,Stream,1,177.84475,-39.192472
Ahimanawa Stream,Unofficial Recorded,Stream,1,177.863167,-39.173139
Ahimanu,Unofficial Recorded,Hill,1,177.625222,-38.774167
Ahimanu Bay,Unofficial Recorded,Bay,1,177.022361,-38.753583
Ahimate Stream,Official Assigned,Stream,1,175.873612,-37.791825
Ahimate Stream,Unofficial Recorded,Stream,1,177.014917,-38.611528
Ahimia,Unofficial Replaced,Locality,1,175.473149,-36.851723
Ahioteatua,Unofficial Recorded,Hill,1,177.665444,-38.72275
Ahioteatua,Unofficial Recorded,Hill,1,177.96475,-38.433361
Ahipaepae,Unofficial Recorded,Hill,1,176.108222,-39.025306
Ahipara,Unofficial Recorded,Hill,1,173.146472,-35.175611
Ahipara,Unofficial Recorded,Locality,1,173.157972,-35.163944
Ahipara Banks,Unofficial Recorded,Bank,1,172.8925,-35.093333
Ahipara Bay,Unofficial Recorded,Bay,1,173.113194,-35.152083
Ahipara Gumfields Historic Reserve,Official Validated,historic reserve,1,173.134722,-35.206389
Ahipara Recreation Reserve,Official Validated,recreation reserve,1,173.148611,-35.168889
Ahipukahu Stream,Unofficial Recorded,Stream,1,176.705083,-38.590861
Ahirau,Unofficial Recorded,Hill,1,175.682389,-36.926167
Ahirau Scenic Reserve,Official Validated,scenic reserve,1,175.465,-36.6175
Ahirau Stream,Unofficial Recorded,Stream,1,175.095667,-37.664222
Ahirau Stream,Unofficial Recorded,Stream,1,175.459028,-36.595278
Ahirau Stream,Unofficial Recorded,Stream,1,178.305611,-37.670639
Ahiroa Point,Unofficial Recorded,Point,1,175.52475,-36.559639
Ahirongahua,Unofficial Recorded,Hill,1,177.050306,-38.273444
Ahitarakihi Bay,Unofficial Recorded,Bay,1,174.233667,-41.201861
Ahititi,Unofficial Recorded,Hill,1,174.84625,-38.056306
Ahititi,Unofficial Recorded,Hill,1,178.056083,-38.423389
Ahititi,Unofficial Recorded,Locality,1,174.601111,-38.860222
Ahititi Stream,Unofficial Recorded,Stream,1,176.944083,-38.665389
Ahiweka,Unofficial Recorded,Hill,1,176.339333,-40.181139
Ahoroa Rock,Unofficial Recorded,Island,1,173.239167,-35.398417
Ahoroa Scenic Reserve,Official Validated,scenic reserve,1,174.673056,-39.575556
Ahu Stream,Unofficial Recorded,Stream,1,173.47275,-35.289528
Ahu-o-te-Atua,Official Altered,Hill,1,176.735115,-39.148465
Ahuahu Stream,Unofficial Recorded,Stream,1,175.022361,-39.604139
Ahuahuiti Stream,Unofficial Recorded,Stream,1,175.000778,-39.630222
Ahuapunga,Unofficial Recorded,Hill,1,174.774944,-37.558111
Ahuateatua,Unofficial Replaced,Hill,1,176.735115,-39.148465
Ahukawakawa (sphagnum moss swamp),Unofficial Recorded,Wetland,1,174.050611,-39.250667
Ahukawhaka,Unofficial Recorded,Hill,1,173.579528,-35.283972
Ahukuramu Stream,Unofficial Recorded,Stream,1,174.511167,-36.760472
Ahurangi Stream,Unofficial Recorded,Stream,1,175.370278,-39.633278
Ahuriri,Official Assigned,Locality,1,176.9049,-39.483989
Ahuriri Bay,Unofficial Recorded,Bay,1,174.081833,-41.266806
Ahuriri Bay,Unofficial Recorded,Bay,1,177.855528,-39.247389
Ahuriri Bush Scenic Reserve,Official Validated,scenic reserve,1,172.623056,-43.667222
Ahuriri Conservation Park,Official Validated,conservation park,1,169.653056,-44.270556
Ahuriri Flat,Unofficial Recorded,Locality,1,169.700556,-46.400778
Ahuriri Pa,Unofficial Recorded,Site,1,173.232028,-35.355
Ahuriri Point,Unofficial Recorded,Point,1,175.339056,-36.095639
Ahuriri Point,Unofficial Recorded,Point,1,177.864333,-39.264861
Ahuriri Post Office,Unofficial Discontinued,Building,1,176.903302,-39.483128
Ahuriri Railway Station,Official Assigned,Railway Station,1,176.900459,-39.480793
Ahuriri River,Unofficial Recorded,Stream,1,169.619028,-44.232
Ahuriri River East Branch,Unofficial Recorded,Stream,1,169.715056,-44.397472
Ahuriri Rock,Unofficial Recorded,Reef,1,170.74,-45.593333
Ahuriri Stream,Unofficial Recorded,Stream,1,175.348833,-36.091889
Ahuroa,Unofficial Recorded,Hill,1,174.882694,-37.515111
Ahuroa,Unofficial Recorded,Locality,1,174.550333,-36.480139
Ahuroa River,Unofficial Recorded,Stream,1,174.415972,-36.018917
Ahuroa Scenic Reserve,Official Validated,scenic reserve,1,174.602778,-36.483611
Ahuroa Stream,Unofficial Recorded,Stream,1,174.361083,-39.284056
Ahurua,Unofficial Recorded,Hill,1,176.315056,-39.225139
Aicken Range,Unofficial Recorded,Range,0,171.65125,-42.834417
Aickens,Unofficial Recorded,Railway Station,0,171.617528,-42.778694
Aida Glacier,Unofficial Recorded,Glacier,0,170.427028,-43.519472
Aigrette,Unofficial Recorded,Hill,0,170.248694,-43.512611
Aiguille Rouge,Unofficial Recorded,Hill,0,167.742639,-44.807667
Aiguilles Canyon,Unofficial Recorded,Canyon,0,176.05,-35.05
Aiguilles Island,Unofficial Recorded,Island,0,175.407,-36.034583
Aiguilles Rouges,Unofficial Recorded,Hill,0,170.291722,-43.577444
Ailsa Craig,Unofficial Recorded,Hill,0,169.788917,-45.648222
Ailsa Creek,Unofficial Recorded,Stream,0,169.769056,-45.620083
Ailsa Mountains,Unofficial Recorded,Range,0,168.166167,-44.842528
Ailsa Pass,Unofficial Recorded,Pass,0,170.323056,-43.639889
Ailsa Stream,Unofficial Recorded,Stream,0,170.348694,-43.658722
Ainsley Creek,Official Assigned,Stream,0,169.435507,-45.186974
Airedale,Unofficial Recorded,Locality,0,170.922639,-45.002472
Airedale Reef,Unofficial Recorded,Reef,0,174.24,-38.981389
Airstrip Stream,Unofficial Recorded,Stream,0,176.148417,-39.092694
Ajax Creek,Unofficial Recorded,Stream,0,171.895833,-42.115778
Ajax Hill,Unofficial Recorded,Hill,0,169.3015,-46.429917
Ajax Peak,Official Assigned,Hill,0,170.65165,-43.580851
Ajax Stream,Official Assigned,Stream,0,170.673054,-43.586402
Aka Aka,Unofficial Recorded,Locality,0,174.784639,-37.291722
Aka Aka Stream,Unofficial Recorded,Stream,0,174.782139,-37.307278
Akakahia Stream,Unofficial Recorded,Stream,1,178.128111,-38.269778
Akapatiki Flat,Official Assigned,Flat,1,170.687498,-45.810765
Akaroa,Unofficial Recorded,Locality,1,176.26225,-40.550972
Akaroa,Unofficial Recorded,Town,1,172.973833,-43.806667
Akaroa Harbour,Unofficial Recorded,Bay,1,172.935389,-43.793972
Akaroa Head,Official Assigned,Point,1,172.979342,-43.890213
Akaroa Head Scenic Reserve,Official Validated,scenic reserve,1,172.978611,-43.887778
Akaroa Marine Reserve,Official Assigned,marine reserve,1,172.962594,-43.881076
Akaroa Sea Valleys,Unofficial Recorded,Valley,1,173.416667,-44.5
Akatarawa River,Unofficial Recorded,Stream,1,175.090278,-40.967528
Akatarawa River West,Unofficial Recorded,Stream,1,175.072889,-41.062972
Akatarawa Saddle,Unofficial Recorded,Pass,1,175.108833,-40.949417
Akatarere Point,Unofficial Recorded,Point,1,172.946306,-34.53475
Akatarere Point,Unofficial Recorded,Point,1,175.299667,-36.206389
Akatarewa Stream,Unofficial Recorded,Stream,1,176.155361,-38.463444
Akatea Stream,Unofficial Recorded,Stream,1,175.027944,-37.643
Akatere,Official Assigned,Trig Station,1,173.663995,-35.005181
Akatere,Unofficial Recorded,Hill,1,173.664278,-35.005278
Akatere District,Official Assigned,Local Government,1,173.637928,-34.988446
Akatere Historic Reserve,Official Validated,historic reserve,1,173.661111,-34.998333
Akatere Road,Unofficial Discontinued,Road,1,173.636582,-34.987565
Akaterere,Unofficial Replaced,Trig Station,1,173.663995,-35.005181
Akaterere District,Unofficial Replaced,Local Government,1,173.637928,-34.988446
Akaterere Road,Unofficial Replaced,Road,1,173.636582,-34.987565
Akatore Creek,Unofficial Recorded,Stream,1,170.131222,-46.086472
Akeake Historic Reserve,Official Validated,historic reserve,1,174.046111,-35.1925
Akeake Stream,Official Assigned,Stream,1,175.720512,-36.77695
Akeake Stream,Unofficial Recorded,Stream,1,175.879917,-39.241833
Akerama,Unofficial Recorded,Locality,1,174.165611,-35.496083
Akersten Bay,Official Assigned,Bay,0,173.048348,-40.972097
Akina,Unofficial Recorded,Point,1,174.224528,-41.000472
Akina,Unofficial Recorded,Suburb,1,176.842778,-39.652083
Akitio,Unofficial Recorded,Locality,1,176.409611,-40.604083
Akitio Ridge,Official Adopted,Ridge,1,177.85,-40.8
Akitio River,Unofficial Recorded,Stream,1,176.293528,-40.473333
Akitio Trough,Official Adopted,Trough,1,177.666667,-40.833333
Akura,Unofficial Recorded,Locality,1,175.644528,-40.929861
Akura Stream,Unofficial Recorded,Stream,1,172.948583,-34.432861
Alabama Stream,Unofficial Recorded,Stream,0,175.559944,-37.116583
Alabaster Creek,Unofficial Recorded,Stream,0,168.188778,-44.497722
Alabaster Pass,Official Assigned,Pass,0,168.209868,-44.517285
Alamein Peak,Official Assigned,Hill,0,170.465815,-43.447054
Alan Gully,Unofficial Recorded,Valley,0,172.768694,-41.616222
Alan Stream,Official Assigned,Stream,0,173.128358,-41.800438
Alarm Creek,Unofficial Recorded,Stream,0,169.186722,-44.073
Alarm Mountain,Unofficial Recorded,Hill,0,167.561528,-44.804972
Albany,Official Assigned,Suburb,0,174.700746,-36.734074
Albany Heights,Official Assigned,Suburb,0,174.693006,-36.716867
Albany Heights,Unofficial Recorded,Locality,0,174.676806,-36.713722
Albany Scenic Reserve,Official Validated,scenic reserve,0,174.695,-36.708889
Albany Village,Unofficial Recorded,Locality,0,174.689222,-36.726278
Albatross Point,Unofficial Recorded,Point,0,174.685833,-38.1095
Albert Burn,Unofficial Recorded,Stream,0,169.021583,-44.340972
Albert Burn,Unofficial Recorded,Stream,0,169.289361,-44.830861
Albert Burn Saddle,Unofficial Recorded,Pass,0,168.872972,-44.396444
Albert Channel,Official Assigned,Channel,0,174.242835,-35.226778
Albert Edward Peak,Unofficial Recorded,Hill,0,167.258944,-45.973972
Albert Glacier,Unofficial Recorded,Glacier,0,170.167889,-43.539639
Albert Lake,Official Assigned,Lake,0,172.62238,-43.527545
Albert Peak,Official Assigned,Hill,0,168.333518,-44.497209
Albert Reef,Official Assigned,Reef,0,173.515669,-34.922771
Albert Shoal,Unofficial Recorded,Shoal,0,174.803333,-36.445
Albert Town,Official Assigned,Locality,0,169.191735,-44.682569
Alberts Cap,Unofficial Recorded,Hill,0,169.507639,-46.215889
Alberts Creek,Unofficial Recorded,Stream,0,170.842611,-43.055944
Albion Inlet,Official Assigned,Bay,0,167.669852,-47.169523
Albion Square Historic Reserve,Official Validated,historic reserve,0,173.289444,-41.273611
Albury,Unofficial Recorded,Locality,0,170.875278,-44.231972
Albury Range,Unofficial Recorded,Range,0,170.721333,-44.126611
Alcove Stream,Official Assigned,Stream,0,169.947447,-44.531325
Alderman Trough,Unofficial Recorded,Trough,0,176.483333,-36.916667
Aldermen Islands (Ruamaahu) Nature Reserve,Official Validated,nature reserve,1,176.082222,-36.96
Alderson Falls,Unofficial Recorded,Waterfall,0,167.184444,-45.449167
Aldinga Creek,Unofficial Recorded,Stream,0,169.284778,-45.286889
Alec Creek,Unofficial Recorded,Stream,0,171.208111,-42.933306
Alex Knob,Unofficial Recorded,Hill,0,170.151222,-43.42775
Alexander,Unofficial Recorded,Hill,0,168.293167,-44.427028
Alexander Creek,Unofficial Recorded,Stream,0,170.617639,-42.985444
Alexander Creek,Unofficial Recorded,Stream,0,170.817583,-43.142806
Alexander Creek,Unofficial Recorded,Stream,0,171.630389,-42.739194
Alexander McKay Falls,Official Assigned,Waterfall,0,168.575775,-44.65132
Alexander Peak,Unofficial Recorded,Hill,0,167.258,-45.983583
Alexander Range,Unofficial Recorded,Range,0,171.59825,-42.696111
Alexander River,Unofficial Recorded,Stream,0,171.972611,-42.322361
Alexanders Creek,Unofficial Recorded,Stream,0,170.539222,-45.736889
Alexanders Hill,Unofficial Recorded,Hill,0,170.539611,-45.734167
Alexandra,Unofficial Recorded,Locality,0,169.375611,-45.254056
Alexandra Courthouse Historic Reserve,Official Validated,historic reserve,0,169.392222,-45.255556
Alexandra Creek,Unofficial Recorded,Stream,0,175.99075,-39.298361
Alexandra Lakeside Recreation Reserve,Official Validated,recreation reserve,0,169.388611,-45.258333
Alexandra Peak,Official Altered,Hill,0,167.257866,-45.983544
Alexandra Redoubt,Unofficial Recorded,Site,0,175.193528,-37.993778
Alexandra Stream,Unofficial Recorded,Stream,0,174.705778,-36.74175
Alf Creek,Unofficial Recorded,Stream,0,170.1085,-43.505417
Alf Creek,Unofficial Recorded,Stream,0,170.417528,-43.340111
Alfern Creek,Unofficial Recorded,Stream,0,169.296556,-44.818028
Alford Forest,Unofficial Recorded,Locality,0,171.50225,-43.613667
Alford Range,Unofficial Recorded,Range,0,171.45275,-43.560028
Alford Scenic Reserve,Official Validated,scenic reserve,0,171.501944,-43.590833
Alfred Peak,Unofficial Recorded,Hill,0,168.487917,-44.313333
Alfred River,Unofficial Recorded,Stream,0,172.236861,-42.335472
Alfred Stream,Unofficial Recorded,Stream,0,173.328194,-42.305528
Alfred Stream,Unofficial Recorded,Stream,0,173.558056,-41.229889
Alfreds Creek,Unofficial Recorded,Stream,0,169.970417,-44.624389
Alfredton,Unofficial Recorded,Locality,0,175.86025,-40.678056
Alfriston,Unofficial Recorded,Locality,0,174.940667,-37.017333
Algies Bay,Unofficial Recorded,Locality,0,174.744694,-36.432139
Alhambra Rock,Official Assigned,Rock,0,169.001749,-43.833033
Alice Burn,Unofficial Recorded,Stream,0,169.192417,-44.828111
Alice Creek,Unofficial Recorded,Stream,0,171.186361,-42.941861
Alice Falls,Unofficial Recorded,Waterfall,0,167.43975,-44.975
Alice Glen,Official Assigned,Valley,0,174.647289,-36.946803
Alice Peak,Official Assigned,Hill,0,168.039383,-44.583807
Alice Peaks,Unofficial Recorded,Hill,0,167.193861,-46.007
Alicetown,Unofficial Recorded,Suburb,0,174.890444,-41.213778
Alick Glacier,Unofficial Recorded,Glacier,0,168.766222,-44.344111
Alioth Brook,Unofficial Recorded,Stream,0,169.175722,-44.104389
Alison Creek,Unofficial Recorded,Stream,0,169.22625,-46.563806
All Day Bay,Official Assigned,Bay,0,170.892618,-45.205144
All Nations Creek,Unofficial Recorded,Stream,0,173.599389,-41.349194
All Round Peak,Unofficial Recorded,Hill,0,166.918722,-45.236472
All-Up Creek,Unofficial Recorded,Stream,0,168.960028,-44.007278
Allan Knob,Unofficial Recorded,Hill,0,171.153111,-42.950778
Allan Water,Unofficial Recorded,Stream,0,171.791972,-42.392111
Allandale,Unofficial Recorded,Locality,0,170.868556,-44.069333
Allans Beach,Unofficial Recorded,Beach,0,170.689583,-45.877889
Allans Beach Recreation Reserve,Official Validated,recreation reserve,0,170.689444,-45.876667
Allans Beach Wildlife Management Reserve,Official Validated,Government purpose reserve,0,170.412222,-45.900556
Allans Point,Official Assigned,Point,0,168.059722,-46.909026
Allanton,Unofficial Recorded,Locality,0,170.2535,-45.918361
Allanton Wildlife Management Reserve,Official Validated,Government purpose reserve,0,170.412222,-45.900556
Allen Creek,Unofficial Recorded,Stream,0,168.645944,-45.390278
Allen Creek,Unofficial Recorded,Stream,0,170.609139,-42.995389
Allen Creek,Unofficial Recorded,Stream,0,170.748972,-43.083306
Allen Range,Official Assigned,Range,0,172.404509,-41.437868
Allen River,Unofficial Recorded,Stream,0,172.292444,-41.459833
Allen River Left Branch,Unofficial Recorded,Stream,0,172.28825,-41.428889
