id,name,status,feat_type,latitude,longitude,reo,maybe,other
11926,Abbott Peak,Official Validated,Hill,-77.457131,166.909306,0,0,2
15062,Abbotts Hill,Unofficial Recorded,Hill,-45.866778,170.422917,0,0,2
54674,ABC Cave,Official Assigned,Cave,-45.700387,170.456168,0,0,2
1,Abel Glacier,Official Assigned,Glacier,-43.329576,170.638100,0,0,2
49636,Abel Head,Unofficial Replaced,Point,-40.529036,172.736504,0,0,2
15064,Abel Head,Unofficial Recorded,Point,-40.857306,173.057083,0,0,2
2,Abel Janszoon Glacier,Official Assigned,Glacier,-43.554196,170.152539,0,0,3
3,Abel Lake,Official Assigned,Lake,-43.339270,170.638249,0,0,2
15066,Abel Tasman Monument,Official Approved,Site,-40.820933,172.903112,0,0,3
4,Abel Tasman National Park,Official Assigned,Crown Protected Area,-40.910000,172.966111,0,0,4
5,Abel Tasman Point,Official Assigned,Point,-40.800035,172.921583,0,0,3
6,Abel Tasman Roadstead,Official Assigned,Channel,-40.777632,174.019604,0,0,3
7547,Abel Tasman Scenic Reserve,Official Validated,scenic reserve,-40.865099,173.008864,0,0,4
10245,Abercrombie Crests,Official Assigned,Hill,-81.000000,160.150000,0,0,2
15067,Abernethys Creek,Unofficial Recorded,Stream,-45.781611,170.662056,0,0,2
15068,Abes Gully,Unofficial Recorded,Valley,-42.478139,171.441722,0,0,2
15069,Abners Head,Unofficial Recorded,Hill,-43.404583,171.976889,0,0,2
15070,Abrahams Bay,Unofficial Recorded,Bay,-46.944222,168.029194,0,0,2
15071,Abrahams Bosom,Unofficial Recorded,Bay,-47.061722,168.168361,0,0,2
7,Abruzzi Glacier,Official Assigned,Glacier,-44.504094,168.392090,0,0,2
8,Abseil Peak,Official Assigned,Hill,-44.060919,169.677636,0,0,2
15073,Absolum Creek,Unofficial Recorded,Stream,-42.313944,171.950250,0,0,2
49127,Abus Valley,Unofficial Recorded,Valley,-79.883333,155.083333,0,0,2
15074,Abut Head,Unofficial Recorded,Point,-43.108611,170.263361,0,0,2
7548,Abut Head Scenic Reserve,Official Validated,scenic reserve,-43.113333,170.296389,0,0,4
49637,Acacia Bay,Unofficial Discontinued,Bay,-38.703889,176.034722,0,0,2
15075,Acacia Bay,Unofficial Recorded,Locality,-38.703611,176.036472,0,0,2
9,Acacia Bay North,Official Assigned,Bay,-38.708627,176.029164,0,0,3
10,Acacia Bay South,Official Assigned,Bay,-38.712122,176.027139,0,0,3
15076,Access Creek,Unofficial Recorded,Stream,-44.040361,168.663639,0,0,2
15077,Access Creek,Unofficial Recorded,Stream,-43.760139,169.265528,0,0,2
11,Access Peak,Official Assigned,Hill,-44.736195,167.915800,0,0,2
10732,Access Slope,Official Validated,Hill,-79.683333,156.050000,0,0,2
15078,Accident Creek,Unofficial Recorded,Stream,-44.063583,169.020528,0,0,2
15079,Accord Point,Unofficial Recorded,Point,-36.418306,174.818833,0,0,2
15080,Acheron Anchorage,Unofficial Recorded,Bay,-47.201722,167.667556,0,0,2
14288,Acheron Basin,Official Approved,Basin,-45.120000,167.055000,0,0,2
12,Acheron Flat,Official Assigned,Flat,-43.411765,171.605482,0,0,2
13,Acheron Lakes,Official Assigned,Lake,-45.165083,168.094900,0,0,2
15081,Acheron Passage,Unofficial Recorded,Channel,-45.663417,166.725639,0,0,2
15082,Acheron Point,Unofficial Recorded,Point,-45.797361,170.644500,0,0,2
15083,Acheron River,Unofficial Recorded,Stream,-42.074306,173.186972,0,0,2
15084,Acheron River,Unofficial Recorded,Stream,-43.366444,171.620667,0,0,2
15085,Acheron Saddle,Unofficial Recorded,Pass,-41.925167,173.292167,0,0,2
15086,Acheson Crossing,Unofficial Recorded,Place,-37.104056,175.163028,0,0,2
15087,Acheson Stream,Unofficial Recorded,Stream,-37.100389,175.163889,0,0,2
14,Achilles Peak,Official Assigned,Hill,-43.567983,170.727685,0,0,2
15,Achilles Point,Official Assigned,Point,-36.843774,174.863705,0,0,2
16,Aciphylla Creek,Official Assigned,Stream,-43.278656,170.704831,0,0,2
15089,Aciphylla Stream,Unofficial Recorded,Stream,-39.096389,176.144861,0,0,2
15090,Ackers Point,Unofficial Recorded,Point,-46.895889,168.163972,0,0,2
7549,Ackers Point Scenic Reserve,Official Validated,scenic reserve,-46.896111,168.160556,0,0,4
10246,Ackley Point,Official Assigned,Point,-77.783333,166.916667,0,0,2
15091,Acland Falls,Unofficial Recorded,Waterfall,-43.883833,171.258444,0,0,2
15092,Acland Lagoon,Unofficial Recorded,Lake,-43.835222,170.111083,0,0,2
15093,Acre Creek,Unofficial Recorded,Stream,-42.598194,171.117611,0,0,2
15094,Acrobat Creek,Unofficial Recorded,Stream,-43.445472,170.059000,0,0,2
15095,Acton Stream,Unofficial Recorded,Stream,-45.577056,168.265333,0,0,2
7550,Acton Stream Recreation Reserve,Official Validated,recreation reserve,-45.900556,170.412222,0,0,4
15096,Actual Creek,Unofficial Recorded,Stream,-43.010472,170.767528,0,0,2
15097,Ada Creek,Unofficial Recorded,Stream,-41.287583,173.911278,0,0,2
17,Ada Flat,Official Assigned,Flat,-42.329991,172.601618,0,0,2
15098,Ada Flat,Unofficial Recorded,Flat,-41.508111,173.301333,0,0,2
15099,Ada Pass,Unofficial Recorded,Pass,-42.304250,172.461611,0,0,2
15100,Ada River,Unofficial Recorded,Stream,-42.282583,172.559417,0,0,2
15101,Adair,Unofficial Recorded,Locality,-44.427278,171.176111,0,0,1
18,Adam Creek,Official Assigned,Stream,-44.207259,168.223006,0,0,2
19,Adam Creek,Official Assigned,Stream,-43.720775,169.209166,0,0,2
15103,Adam Creek,Unofficial Recorded,Stream,-41.199333,172.214611,0,0,2
15104,Adam Head,Unofficial Recorded,Point,-46.058750,166.738917,0,0,2
14289,Adams Bank,Unofficial Recorded,Bank,-41.366667,176.016667,0,0,2
10733,Adams Bluff,Official Validated,Cliff,-82.150000,159.916667,0,0,2
20,Adams Burn,Official Assigned,Stream,-45.256278,167.346424,0,0,2
21,Adams Col,Official Assigned,Pass,-43.321567,170.688856,0,0,2
15106,Adams Creek,Unofficial Recorded,Stream,-44.939194,168.970556,0,0,2
15107,Adams Creek,Unofficial Recorded,Stream,-43.922611,169.633528,0,0,2
15108,Adams Creek,Unofficial Recorded,Stream,-41.375250,173.308111,0,0,2
22,Adams Flat,Official Assigned,Flat,-43.274253,170.684531,0,0,2
15109,Adams Flat,Unofficial Recorded,Locality,-46.110861,169.831833,0,0,2
11927,Adams Glacier,Official Validated,Glacier,-78.111856,163.638173,0,0,2
23,Adams Glacier,Official Assigned,Glacier,-43.305196,170.685015,0,0,2
15110,Adams Gully,Unofficial Recorded,Valley,-45.134806,169.117972,0,0,2
15111,Adams Gully,Unofficial Recorded,Valley,-43.052417,170.847361,0,0,2
15112,Adams Gully,Unofficial Recorded,Valley,-41.784361,173.838111,0,0,2
24,Adams Hill,Official Assigned,Hill,-47.008398,167.719098,0,0,2
49523,Adams Island,Unofficial Recorded,Island,-50.884480,166.045760,0,0,2
11928,Adams Mountains,Official Validated,Hill,-84.500000,166.333333,0,0,2
11929,Adams Peak,Official Validated,Hill,-81.633333,160.066667,0,0,2
15113,Adams Peak,Unofficial Recorded,Hill,-43.958806,169.647861,0,0,2
15114,Adams Range,Unofficial Recorded,Range,-43.249528,170.521694,0,0,2
49128,Adams Ridge,Unofficial Recorded,Ridge,-71.000000,162.383333,0,0,2
15115,Adams River,Unofficial Recorded,Stream,-43.243722,170.713861,0,0,2
49536,Adams Rocks,Unofficial Recorded,Rock,-50.854680,165.899360,0,0,2
49129,Adams Stream,Unofficial Recorded,Stream,-78.100000,163.750000,0,0,2
25,Adams Stream,Official Assigned,Stream,-43.223811,171.770950,0,0,2
15116,Adams Stream,Unofficial Recorded,Stream,-37.292944,175.812694,0,0,2
10055,Adams Wilderness Area,Official Validated,wilderness area,-43.277778,170.675278,0,0,3
15117,Adamson Creek,Unofficial Recorded,Stream,-43.216583,170.634000,0,0,2
15118,Adamson Creek,Unofficial Recorded,Stream,-43.096417,170.640750,0,0,2
15119,Adamson Creek,Unofficial Recorded,Stream,-42.916417,171.178111,0,0,2
15120,Adamstown Creek,Unofficial Recorded,Stream,-42.204056,171.731472,0,0,2
14113,Adare Basin,Official Adopted,Basin,-71.384000,175.133333,0,0,2
49130,Adare Glacier,Unofficial Recorded,Glacier,-71.716667,170.200000,0,0,2
48974,Adare Saddle,Unofficial Recorded,Pass,-71.733333,170.200000,0,0,2
14109,Adare Trough,Official Adopted,Trough,-70.116667,172.500000,0,0,2
26,Adderley Head,Official Assigned,Point,-43.604419,172.825805,0,0,2
7551,Adderley Head Scenic Reserve,Official Validated,scenic reserve,-43.612500,172.824167,0,0,4
15121,Addington,Unofficial Recorded,Suburb,-43.543028,172.614556,0,0,1
15122,Addisons Flat,Unofficial Recorded,Flat,-41.815694,171.538028,0,0,2
27,Adelaide Peak,Official Assigned,Hill,-44.745992,168.058554,0,0,2
15123,Adelaide Saddle,Unofficial Recorded,Pass,-44.727389,168.020333,0,0,2
28,Adelaide Tarn,Official Assigned,Lake,-40.941735,172.543897,0,0,2
10247,Adele Glacier,Official Assigned,Glacier,-77.216667,166.500000,0,0,2
15124,Adele Island,Unofficial Replaced,Island,-40.981556,173.059583,0,0,2
10734,Adélie Cove,Official Validated,Bay,-74.766667,164.000000,0,0,3
15125,Adiantum Bluff,Unofficial Recorded,Cliff,-43.746194,169.165889,0,0,2
14198,Adieu Bank,Official Adopted,Bank,-45.397476,166.817503,0,0,2
14290,Adieu Basin,Official Approved,Basin,-45.404167,166.831667,0,0,2
15126,Adieu Creek,Unofficial Recorded,Stream,-44.047667,168.983583,0,0,2
15127,Adieu Creek,Unofficial Recorded,Stream,-43.745111,169.937028,0,0,2
15128,Adieu Point,Unofficial Recorded,Point,-45.390639,166.807972,0,0,2
29,Adit Stream,Official Assigned,Stream,-41.812709,172.528186,0,0,2
15129,Adkin,Unofficial Recorded,Hill,-40.808472,175.442306,0,0,1
15130,Administration Bay,Unofficial Recorded,Bay,-36.749111,174.899861,0,0,2
30,Admirals Bay,Official Assigned,Bay,-35.370202,174.357812,0,0,2
31,Admirals Pool,Official Assigned,Pool,-39.010382,175.813400,0,0,2
15131,Admirals Pool,Unofficial Recorded,Lake,-39.011139,175.809222,0,0,2
15132,Admiralty Bay,Unofficial Recorded,Bay,-40.940944,173.874694,0,0,2
11930,Admiralty Mountains,Official Validated,Hill,-71.750000,168.500000,0,0,2
14291,Admiralty Seamount,Unofficial Recorded,Guyot,-67.050000,170.800000,0,0,2
15133,Adolphe Point,Unofficial Recorded,Point,-40.960861,173.067861,0,0,2
15134,Advance Creek,Unofficial Recorded,Stream,-41.593889,172.531194,0,0,2
15135,Advance Peak,Unofficial Recorded,Hill,-44.827306,168.792389,0,0,2
15136,Adventure Hill,Unofficial Recorded,Hill,-47.036000,168.081389,0,0,2
15137,Adventure Ridge,Unofficial Recorded,Ridge,-42.970444,171.156778,0,0,2
32,Adverse Creek,Official Assigned,Stream,-43.339459,170.612691,0,0,2
33,Adverse Glacier,Official Assigned,Glacier,-43.334490,170.583692,0,0,2
49638,Aeneid Peak,Unofficial Replaced,Hill,-42.192988,172.617588,0,0,2
11931,Aeronaut Glacier,Official Validated,Glacier,-73.266667,163.600000,0,0,2
34,Aeroplane Flat,Official Assigned,Flat,-42.930558,171.890938,0,0,2
35,Aeroplane Peak,Official Assigned,Hill,-44.390845,168.768229,0,0,2
15141,Afton Burn,Unofficial Recorded,Stream,-45.138750,168.427333,0,0,2
15142,Afton Burn East Branch,Unofficial Recorded,Stream,-45.165139,168.459194,0,0,4
15143,Afton Peak,Unofficial Recorded,Hill,-45.145806,168.483361,0,0,2
15144,Afton Saddle,Unofficial Recorded,Pass,-45.194167,168.436917,0,0,2
15145,Agassiz Glacier,Unofficial Recorded,Glacier,-43.504417,170.210278,0,0,2
15146,Agassiz Range,Unofficial Recorded,Range,-43.135667,171.113389,0,0,2
10735,Agate Peak,Official Validated,Hill,-72.933333,163.783333,0,0,2
15147,Age Glacier,Unofficial Recorded,Glacier,-44.611417,168.018389,0,0,2
36,Agfa Knob,Official Assigned,Hill,-43.173348,170.957905,0,0,2
15148,Agility Creek,Unofficial Recorded,Stream,-42.924861,171.609833,0,0,2
15149,Agnes Glacier,Unofficial Recorded,Glacier,-43.357000,170.711111,0,0,2
37,Agnes Stream,Official Assigned,Stream,-43.345641,170.741407,0,0,2
15151,Ahaaha Rocks,Unofficial Recorded,Island,-36.690444,175.024444,1,0,1
15152,Ahaura,Unofficial Recorded,Locality,-42.344778,171.537944,1,0,0
7553,Ahaura-Kopara Scenic Reserve,Official Validated,scenic reserve,-42.461111,171.793611,1,0,2
15153,Ahaura River,Unofficial Recorded,Stream,-42.373028,171.572944,1,0,1
10056,Ahaura River East Amenity Area,Official Validated,amenity area,-42.492500,171.781944,1,0,4
10057,Ahaura Road Amenity Area,Official Validated,amenity area,-42.406389,171.715556,1,0,3
10058,Ahaura Terraces Ecological Area,Official Validated,ecological area,-42.423056,171.697778,1,0,3
15154,Ahern Creek,Unofficial Recorded,Stream,-41.327500,173.667806,0,0,2
10736,Ahern Glacier,Official Validated,Glacier,-81.783333,159.166667,0,0,2
15155,Ahiapurua,Unofficial Recorded,Hill,-37.784861,178.058861,1,0,0
15156,Ahiaruhe Shell Bank,Unofficial Recorded,Undersea Feature,-34.537000,172.952667,1,0,2
15157,Ahiaruhe Stream,Unofficial Recorded,Stream,-41.118639,175.581972,1,0,1
15158,Ahiawa Stream,Unofficial Recorded,Stream,-37.843611,174.829361,1,0,1
15159,Ahiherua Stream,Unofficial Recorded,Stream,-38.669306,176.897944,1,0,1
15160,Ahikaeaea,Unofficial Recorded,Hill,-39.119139,176.323139,1,0,0
15161,Ahikaroa,Unofficial Recorded,Hill,-38.652250,177.004000,1,0,0
15162,Ahikiwi,Unofficial Recorded,Locality,-35.790222,173.720361,1,0,0
15163,Ahikopua Point,Unofficial Recorded,Point,-36.633194,175.775111,1,0,1
15164,Ahikouka,Unofficial Recorded,Locality,-41.070000,175.480944,1,0,0
15165,Ahikumukumu Stream,Unofficial Recorded,Stream,-36.726833,175.582056,1,0,1
15166,Ahimanawa,Unofficial Recorded,Hill,-38.884500,177.847417,1,0,0
15167,Ahimanawa Range,Unofficial Recorded,Range,-39.060194,176.517472,1,0,1
15168,Ahimanawa Stream,Unofficial Recorded,Stream,-38.582111,176.810056,1,0,1
15169,Ahimanawa Stream,Unofficial Recorded,Stream,-39.192472,177.844750,1,0,1
15170,Ahimanawa Stream,Unofficial Recorded,Stream,-39.173139,177.863167,1,0,1
15171,Ahimanu,Unofficial Recorded,Hill,-38.774167,177.625222,1,0,0
15172,Ahimanu Bay,Unofficial Recorded,Bay,-38.753583,177.022361,1,0,1
38,Ahimate Stream,Official Assigned,Stream,-37.791825,175.873612,1,0,1
15173,Ahimate Stream,Unofficial Recorded,Stream,-38.611528,177.014917,1,0,1
49639,Ahimia,Unofficial Replaced,Locality,-36.851723,175.473149,1,0,0
15174,Ahioteatua,Unofficial Recorded,Hill,-38.722750,177.665444,1,0,0
15175,Ahioteatua,Unofficial Recorded,Hill,-38.433361,177.964750,1,0,0
15176,Ahipaepae,Unofficial Recorded,Hill,-39.025306,176.108222,1,0,0
15177,Ahipara,Unofficial Recorded,Hill,-35.175611,173.146472,1,0,0
15178,Ahipara,Unofficial Recorded,Locality,-35.163944,173.157972,1,0,0
14292,Ahipara Banks,Unofficial Recorded,Bank,-35.093333,172.892500,1,0,1
15179,Ahipara Bay,Unofficial Recorded,Bay,-35.152083,173.113194,1,0,1
7554,Ahipara Gumfields Historic Reserve,Official Validated,historic reserve,-35.206389,173.134722,1,0,3
7555,Ahipara Recreation Reserve,Official Validated,recreation reserve,-35.168889,173.148611,1,0,2
15180,Ahipukahu Stream,Unofficial Recorded,Stream,-38.590861,176.705083,1,0,1
15181,Ahirau,Unofficial Recorded,Hill,-36.926167,175.682389,1,0,0
7556,Ahirau Scenic Reserve,Official Validated,scenic reserve,-36.617500,175.465000,1,0,2
15182,Ahirau Stream,Unofficial Recorded,Stream,-36.595278,175.459028,1,0,1
15183,Ahirau Stream,Unofficial Recorded,Stream,-37.664222,175.095667,1,0,1
15184,Ahirau Stream,Unofficial Recorded,Stream,-37.670639,178.305611,1,0,1
15185,Ahiroa Point,Unofficial Recorded,Point,-36.559639,175.524750,1,0,1
15186,Ahirongahua,Unofficial Recorded,Hill,-38.273444,177.050306,1,0,0
15187,Ahitarakihi Bay,Unofficial Recorded,Bay,-41.201861,174.233667,1,0,1
15188,Ahititi,Unofficial Recorded,Hill,-38.056306,174.846250,1,0,0
15189,Ahititi,Unofficial Recorded,Hill,-38.423389,178.056083,1,0,0
15190,Ahititi,Unofficial Recorded,Locality,-38.860222,174.601111,1,0,0
15191,Ahititi Stream,Unofficial Recorded,Stream,-38.665389,176.944083,1,0,1
15192,Ahiweka,Unofficial Recorded,Hill,-40.181139,176.339333,1,0,0
10737,Ahmadjian Peak,Official Validated,Hill,-83.683333,168.700000,0,0,2
15193,Ahoroa Rock,Unofficial Recorded,Island,-35.398417,173.239167,1,0,1
7557,Ahoroa Scenic Reserve,Official Validated,scenic reserve,-39.575556,174.673056,1,0,2
54765,Ahu-o-te-Atua,Official Altered,Hill,-39.148465,176.735115,1,0,0
15194,Ahu Stream,Unofficial Recorded,Stream,-35.289528,173.472750,1,0,1
15195,Ahuahu Stream,Unofficial Recorded,Stream,-39.604139,175.022361,1,0,1
15196,Ahuahuiti Stream,Unofficial Recorded,Stream,-39.630222,175.000778,1,0,1
15197,Ahuapunga,Unofficial Recorded,Hill,-37.558111,174.774944,1,0,0
39,Ahuateatua,Unofficial Replaced,Hill,-39.148465,176.735115,1,0,0
15198,Ahukawakawa (sphagnum moss swamp),Unofficial Recorded,Wetland,-39.250667,174.050611,1,0,3
15199,Ahukawhaka,Unofficial Recorded,Hill,-35.283972,173.579528,1,0,0
15200,Ahukuramu Stream,Unofficial Recorded,Stream,-36.760472,174.511167,1,0,1
15201,Ahurangi Stream,Unofficial Recorded,Stream,-39.633278,175.370278,1,0,1
40,Ahuriri,Official Assigned,Locality,-39.483989,176.904900,1,0,0
15202,Ahuriri Bay,Unofficial Recorded,Bay,-41.266806,174.081833,1,0,1
15203,Ahuriri Bay,Unofficial Recorded,Bay,-39.247389,177.855528,1,0,1
7558,Ahuriri Bush Scenic Reserve,Official Validated,scenic reserve,-43.667222,172.623056,1,0,3
10059,Ahuriri Conservation Park,Official Validated,conservation park,-44.270556,169.653056,1,0,2
15204,Ahuriri Flat,Unofficial Recorded,Locality,-46.400778,169.700556,1,0,1
15205,Ahuriri Pa,Unofficial Recorded,Site,-35.355000,173.232028,1,0,1
15206,Ahuriri Point,Unofficial Recorded,Point,-36.095639,175.339056,1,0,1
15207,Ahuriri Point,Unofficial Recorded,Point,-39.264861,177.864333,1,0,1
41,Ahuriri Post Office,Unofficial Discontinued,Building,-39.483128,176.903302,1,0,2
42,Ahuriri Railway Station,Official Assigned,Railway Station,-39.480793,176.900459,1,0,2
15208,Ahuriri River,Unofficial Recorded,Stream,-44.232000,169.619028,1,0,1
15209,Ahuriri River East Branch,Unofficial Recorded,Stream,-44.397472,169.715056,1,0,3
14293,Ahuriri Rock,Unofficial Recorded,Reef,-45.593333,170.740000,1,0,1
15210,Ahuriri Stream,Unofficial Recorded,Stream,-36.091889,175.348833,1,0,1
15211,Ahuroa,Unofficial Recorded,Hill,-37.515111,174.882694,1,0,0
15212,Ahuroa,Unofficial Recorded,Locality,-36.480139,174.550333,1,0,0
15213,Ahuroa River,Unofficial Recorded,Stream,-36.018917,174.415972,1,0,1
7559,Ahuroa Scenic Reserve,Official Validated,scenic reserve,-36.483611,174.602778,1,0,2
15214,Ahuroa Stream,Unofficial Recorded,Stream,-39.284056,174.361083,1,0,1
15215,Ahurua,Unofficial Recorded,Hill,-39.225139,176.315056,1,0,0
15216,Aicken Range,Unofficial Recorded,Range,-42.834417,171.651250,0,0,2
15217,Aickens,Unofficial Recorded,Railway Station,-42.778694,171.617528,0,0,1
15218,Aida Glacier,Unofficial Recorded,Glacier,-43.519472,170.427028,0,0,2
15219,Aigrette,Unofficial Recorded,Hill,-43.512611,170.248694,0,0,1
15220,Aiguille Rouge,Unofficial Recorded,Hill,-44.807667,167.742639,0,0,2
14294,Aiguilles Canyon,Unofficial Recorded,Canyon,-35.050000,176.050000,0,0,2
15221,Aiguilles Island,Unofficial Recorded,Island,-36.034583,175.407000,0,0,2
15222,Aiguilles Rouges,Unofficial Recorded,Hill,-43.577444,170.291722,0,0,2
10738,Aiken Glacier,Official Validated,Glacier,-77.633333,163.400000,0,0,2
15223,Ailsa Craig,Unofficial Recorded,Hill,-45.648222,169.788917,0,0,2
15224,Ailsa Creek,Unofficial Recorded,Stream,-45.620083,169.769056,0,0,2
15225,Ailsa Mountains,Unofficial Recorded,Range,-44.842528,168.166167,0,0,2
15226,Ailsa Pass,Unofficial Recorded,Pass,-43.639889,170.323056,0,0,2
15227,Ailsa Stream,Unofficial Recorded,Stream,-43.658722,170.348694,0,0,2
10248,Ainley Peak,Official Assigned,Hill,-77.500000,169.033333,0,0,2
43,Ainsley Creek,Official Assigned,Stream,-45.186974,169.435507,0,0,2
10249,Airdevronsix Glacier,Official Assigned,Glacier,-77.516667,160.333333,0,0,2
11932,Airdevronsix Icefalls,Official Validated,Ice Feature,-77.516667,160.366667,0,0,2
11933,Airdrop Peak,Official Validated,Hill,-83.750000,172.750000,0,0,2
15229,Airedale,Unofficial Recorded,Locality,-45.002472,170.922639,0,0,1
15230,Airedale Reef,Unofficial Recorded,Reef,-38.981389,174.240000,0,0,2
15231,Airstrip Stream,Unofficial Recorded,Stream,-39.092694,176.148417,0,0,2
10739,Aitken Nunatak,Official Validated,Ice Feature,-85.700000,173.816667,0,0,2
15232,Ajax Creek,Unofficial Recorded,Stream,-42.115778,171.895833,0,0,2
15233,Ajax Hill,Unofficial Recorded,Hill,-46.429917,169.301500,0,0,2
44,Ajax Peak,Official Assigned,Hill,-43.580851,170.651650,0,0,2
45,Ajax Stream,Official Assigned,Stream,-43.586402,170.673054,0,0,2
15234,Aka Aka,Unofficial Recorded,Locality,-37.291722,174.784639,0,2,0
15235,Aka Aka Stream,Unofficial Recorded,Stream,-37.307278,174.782139,0,2,1
15236,Akakahia Stream,Unofficial Recorded,Stream,-38.269778,178.128111,1,0,1
46,Akapatiki Flat,Official Assigned,Flat,-45.810765,170.687498,1,0,1
15237,Akaroa,Unofficial Recorded,Locality,-40.550972,176.262250,1,0,0
15238,Akaroa,Unofficial Recorded,Town,-43.806667,172.973833,1,0,0
15239,Akaroa Harbour,Unofficial Recorded,Bay,-43.793972,172.935389,1,0,1
47,Akaroa Head,Official Assigned,Point,-43.890213,172.979342,1,0,1
7560,Akaroa Head Scenic Reserve,Official Validated,scenic reserve,-43.887778,172.978611,1,0,3
54670,Akaroa Marine Reserve,Official Assigned,marine reserve,-43.881076,172.962594,1,0,2
14295,Akaroa Sea Valleys,Unofficial Recorded,Valley,-44.500000,173.416667,1,0,2
15240,Akatarawa River,Unofficial Recorded,Stream,-40.967528,175.090278,1,0,1
15241,Akatarawa River West,Unofficial Recorded,Stream,-41.062972,175.072889,1,0,2
15242,Akatarawa Saddle,Unofficial Recorded,Pass,-40.949417,175.108833,1,0,1
15243,Akatarere Point,Unofficial Recorded,Point,-34.534750,172.946306,1,0,1
15244,Akatarere Point,Unofficial Recorded,Point,-36.206389,175.299667,1,0,1
15245,Akatarewa Stream,Unofficial Recorded,Stream,-38.463444,176.155361,1,0,1
15246,Akatea Stream,Unofficial Recorded,Stream,-37.643000,175.027944,1,0,1
48,Akatere,Official Assigned,Trig Station,-35.005181,173.663995,1,0,0
15247,Akatere,Unofficial Recorded,Hill,-35.005278,173.664278,1,0,0
49,Akatere District,Official Assigned,Local Government,-34.988446,173.637928,1,0,1
7561,Akatere Historic Reserve,Official Validated,historic reserve,-34.998333,173.661111,1,0,2
50,Akatere Road,Unofficial Discontinued,Road,-34.987565,173.636582,1,0,1
49640,Akaterere,Unofficial Replaced,Trig Station,-35.005181,173.663995,1,0,0
49641,Akaterere District,Unofficial Replaced,Local Government,-34.988446,173.637928,1,0,1
49642,Akaterere Road,Unofficial Replaced,Road,-34.987565,173.636582,1,0,1
15248,Akatore Creek,Unofficial Recorded,Stream,-46.086472,170.131222,1,0,1
7562,Akeake Historic Reserve,Official Validated,historic reserve,-35.192500,174.046111,1,0,2
51,Akeake Stream,Official Assigned,Stream,-36.776950,175.720512,1,0,1
15249,Akeake Stream,Unofficial Recorded,Stream,-39.241833,175.879917,1,0,1
15250,Akerama,Unofficial Recorded,Locality,-35.496083,174.165611,1,0,0
52,Akersten Bay,Official Assigned,Bay,-40.972097,173.048348,0,0,2
15251,Akina,Unofficial Recorded,Point,-41.000472,174.224528,1,0,0
15252,Akina,Unofficial Recorded,Suburb,-39.652083,176.842778,1,0,0
15253,Akitio,Unofficial Recorded,Locality,-40.604083,176.409611,1,0,0
14296,Akitio Ridge,Official Adopted,Ridge,-40.800000,177.850000,1,0,1
15254,Akitio River,Unofficial Recorded,Stream,-40.473333,176.293528,1,0,1
14297,Akitio Trough,Official Adopted,Trough,-40.833333,177.666667,1,0,1
15255,Akura,Unofficial Recorded,Locality,-40.929861,175.644528,1,0,0
15256,Akura Stream,Unofficial Recorded,Stream,-34.432861,172.948583,1,0,1
15257,Alabama Stream,Unofficial Recorded,Stream,-37.116583,175.559944,0,0,2
